Degree,ID,Curriculum,Field of studies,ECTS Credits,Semester,Curriculum Link,Modulhandbuch Link
04 TopMath Promotion,084,Mathe. mit zusätzl. Promo.stg. Mathe. - Promotion (kA/20191),Mathematik,,8,,
05 Teilpromotion,701,Agrarwissenschaften (kA/0),Agrarwissenschaft/Landwirtschaft,6,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4094&pStartSemester=,
05 Teilpromotion,350,Architektur (kA/0),Architektur,,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2550&pStartSemester=,
05 Teilpromotion,310,Bauingenieurwesen (kA/0),Bauingenieurwesen/Ingenieurbau,,6,,
05 Teilpromotion,105,Biochemie (kA/0),Biochemie,,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4127&pStartSemester=,
05 Teilpromotion,042,Bioinformatik (kA/0; sb bis 30.09.2050),Informatik,,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4234&pStartSemester=,
05 Teilpromotion,110,Biologie (kA/0; sb bis 30.09.2030),Biologie,,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2897&pStartSemester=,
05 Teilpromotion,800,Brauwesen und Getränketechnologie (kA/0),Brauwesen/Getränketechnologie,,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4128&pStartSemester=,
05 Teilpromotion,100,Chemie (kA/0),Chemie,,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2551&pStartSemester=,
05 Teilpromotion,415,Chemie-Ingenieurwesen (kA/0),Chemie-Ingenieurwesen/Chemietechnik,,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4160&pStartSemester=,
05 Teilpromotion,761,Ernährungswissenschaft (kA/0; sb bis 30.09.2030),Haushalts- und Ernährungswissenschaft,,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2993&pStartSemester=,
05 Teilpromotion,610,Fakultät TUM School of Education (kA/0),Erziehungswissenschaft (Pädagogik),,8,,
05 Teilpromotion,750,Forstwissenschaft (kA/0; sb bis 30.09.2039),"Forstwissenschaft, -wirtschaft",,6,https://campus.tum.de/tumonline/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=3371&pStartSemester=,
05 Teilpromotion,332,Geodäsie u.Geoinformation (kA/0),Vermessungswesen (Geodäsie),,6,,
