Study_Program_ID,Level,Name,Link,Recommended_Semester,Credits,GF
121,1,[20221] Information Systems,#,,120,1
121,2,Master's Thesis,#,,30,1
121,3,[IN2109] Master's Thesis,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/458129/study-year/1621,,30,1
121,2,Master's Thesis,#,4.,30,1
121,1,Pflichtmodule Informatik,#,,8,1
121,2,[IN2309] Advanced Topics of Software Engineering,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1060130/study-year/1621,,8,1
121,3,[IN2309] Advanced Topics of Software Engineering,#,-,8,1
121,2,Advanced Topics of Software Engineering,#,-,,1
121,3,"Advanced Topics of Software Engineering (IN2309, IN2126)",#,-,,1
121,2,Tutorübung zu Advanced Topics of Software Engineering (und Software Engineering - IN2126),#,-,,1
121,3,"Zentralübung zu Advanced Topics of Software Engineering (IN2309, IN2126)",#,-,,1
121,2,Pflichtmodule Wirtschaftsinformatik,#,,13,1
121,3,[IN2105] Geschäftsprozesstechnologien und -management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2839421/study-year/1621,,5,1
121,2,Geschäftsprozesstechnologien und -management,#,-,5,1
121,3,Geschäftsprozesstechnologien und -management (IN2105),#,-,,1
121,2,[IN2087] Software Engineering for Business Applications - Master's Course: Web Application Engineering,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1452141/study-year/1621,,8,1
121,3,[IN2087] Software Engineering für betriebliche Anwendungen - Masterkurs: Web Application Engineering,#,-,8,1
121,2,Software Engineering für betriebliche Anwendungen - Masterkurs: Web Application Engineering (IN2087),#,-,,1
121,1,Wahlmodule Entwicklungspraktikum,#,,10,1
121,2,[IN2128] Entwicklungspraktikum Unternehmenssoftware,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/457036/study-year/1621,,10,1
121,3,[IN2128] Entwicklungspraktikum Unternehmenssoftware,#,-,10,1
121,2,[IN212809] Advanced Practical Course - Enterprise Cloud Platform Operations - On the Example of SAP,#,-,10,1
121,3,[IN212817] Advanced Practical Course - Run-Time Data Visualization for Business Processes,#,-,10,1
121,2,[IN212818] Advanced Practical Course - There and Back Again - Foundations and Applications of Process (Re-)Discovery with Petri Nets and Process Trees,#,-,10,1
121,3,[IN212803] Entwicklungspraktikum Unternehmenssoftware - Automotive Services,#,-,10,1
121,2,[IN212804] Entwicklungspraktikum Unternehmenssoftware - Business Intelligence,#,-,10,1
121,3,"[IN212801] Entwicklungspraktikum Unternehmenssoftware - Entwicklung, Einsatzszenarien, Management und Integration von Unternehmenssoftware",#,-,10,1
121,2,[IN212807] Entwicklungspraktikum Unternehmenssoftware - Future Business Labs,#,-,10,1
121,3,[IN212802] Entwicklungspraktikum Unternehmenssoftware - SOA/Web Services,#,-,10,1
121,2,[IN4368] Master Praktikum: Agile Entwicklung eines Lernassistenten auf Basis von generativer KI,#,-,10,1
121,3,[IN212810] Master-Praktikum - Application Challenges for Machine Learning am Beispiel von IBM Power AI,#,-,10,1
121,2,[IN4283] Master-Praktikum - Building Digital Workflows with the Enterprise Platform ServiceNow,#,-,10,1
121,3,[IN212812] Master-Praktikum - Machine Learning für Wirtschaftsinformatiker,#,-,10,1
121,2,[IN212816] Master-Praktikum - Supportive Process Automation and Worker Assistance,#,-,10,1
121,3,"[IN4303] Master-Praktikum - Sustainable Process Automation: Humans, Software and the Mediator Pattern",#,-,10,1
121,2,[IN212819] Practical Course - JavaScript Technology,#,-,10,1
121,3,[IN212811] Practical Course - Server-Side Swift,#,-,10,1
121,2,[IN4206] Praktikum - Agile Project Management,#,-,10,1
121,2,[IN4049] Praktikum - IOS,#,-,10,1
121,3,[IN212813] Praktikum: Advanced Systems Programming in C/Rust,#,-,10,1
121,2,[IN212815] Praktikum: Cloud Systems Engineering,#,-,10,1
121,3,[IN212814] Praktikum: Computer Systems Lab,#,-,10,1
121,2,[IN212808] Praktikum Design Thinking for Business Innovation 1,#,-,10,1
121,3,[IN212805] Praktikum IT Service Automation,#,-,10,1
121,3,Praktikum Windows App Entwicklung,#,-,10,1
121,3,"Master-Praktikum - Entwicklung, Einsatzszenarien, Management und Integration von Unternehmenssoftware (am Beispiel SAP) (IN2128, IN2128012, IN2106, IN8902)",#,-,,1
121,2,"Advanced Practical Course - Enterprise Cloud Platform Operations - On the Example of SAP (IN2106, IN2128, IN212809)",#,-,,1
121,3,"Advanced Practical Course - Run-Time Data Visualization for Business Processes (IN2106, IN2128)",#,-,,1
121,2,"Advanced Practical Course - There and Back Again - Foundations and Applications of Process (Re-)Discovery with Petri Nets and Process Trees (IN2106, IN2128)",#,-,,1
121,3,"Big Data Analytics - Entwicklung innovativer Anwendungen auf Basis von SAP HANA (IN0012, IN2106, IN2128)",#,-,,1
121,2,Entwicklungspraktikum Unternehmenssoftware - Automotive Services (IN2128),#,-,,1
121,3,Entwicklungspraktikum Unternehmenssoftware - Business Intelligence (IN2128),#,-,,1
121,2,"Entwicklungspraktikum Unternehmenssoftware - Entwicklung, Einsatzszenarien, Management und Integration von Unternehmenssoftware (IN2128)",#,-,,1
121,3,Entwicklungspraktikum Unternehmenssoftware - SOA Anwendungsintegration (IN2128),#,-,,1
121,2,"Master Praktikum: Agile Entwicklung eines Lernassistenten auf Basis von generativer KI (IN2106, IN2128,  IN4368)",#,-,,1
121,3,"Master-Praktikum - Application Challenges for Machine Learning am Beispiel von IBM Power AI (IN2128, IN2106, IN212810)",#,-,,1
121,2,"Master-Praktikum - Building Digital Workflows with the Enterprise Platform ServiceNow (IN2128, IN2106, IN4283)",#,-,,1
121,3,"Master-Praktikum - Business Intelligence (IN2128, IN2106)",#,-,,1
121,2,"Master-Praktikum - Business Intelligence (IN2128, IN2106, IN8902)",#,-,,1
121,3,"Master-Praktikum - Future Business Labs (IN2106, IN2128)",#,-,,1
121,2,"Master-Praktikum - IoT Services: Anwendungsentwicklung am Beispiel von SAP Leonardo (IN2128, IN2106)",#,-,,1
121,3,"Master-Praktikum - Machine Learning für Wirtschaftsinformatiker (IN2106, IN2128)",#,-,,1
121,2,"Master-Praktikum - Supportive Process Automation and Worker Assistance (IN2128, IN2106)",#,-,,1
121,3,"Master-Praktikum - Sustainable Process Automation: Humans, Software and the Mediator Pattern (IN2128, IN2106, IN4303)",#,-,,1
121,2,"Practical Course - JavaScript Technology (IN0012, IN2106, IN2175, IN2128)",#,-,,1
121,3,"Practical Course - Server-Side Swift (IN0012, IN2106, IN212811)",#,-,,1
121,2,"Praktikum - Agile Project Management (IN0012, IN2106, IN2128, IN4206)",#,-,,1
121,3,"Praktikum - iOS Praktikum 2013 (IN0012, IN2106, IN8902, IN4049)",#,-,,1
121,2,"Praktikum - IT Service Automation (IN0012, IN2106, IN4147)",#,-,,1
121,3,"Praktikum - White-collar hacking contest (IN0012, IN2106, IN2128)",#,-,,1
121,2,"Praktikum: Advanced Systems Programming in C/Rust (IN0012, IN2106, IN2128)",#,-,,1
121,3,"Praktikum: Cloud Systems Engineering (IN0012, IN2106, IN2128)",#,-,,1
121,2,"Praktikum: Computer Systems Lab (IN0012, IN2106, IN2128)",#,-,,1
121,3,Praktikum Design Thinking for Business Innovation 1,#,-,,1
121,2,[IN2129] Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/457038/study-year/1621,,10,1
121,3,Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme,#,-,10,1
121,2,"Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme - Webanwendungen (IN2106, IN2129, IN4077)",#,-,,1
121,3,Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme - Webanwendungen (IN2129),#,-,,1
121,2,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2862515/study-year/1621,,10,1
121,3,Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,#,-,10,1
121,2,[IN213003] Advanced Practical Course - Message Correlation and Inter-Instance/Process Communication in Process Aware Information Systems,#,-,10,1
121,3,[IN213004] Advanced Practical Course - Solving Information Systems Problems Through Data Science Methods,#,-,10,1
121,2,[IN4304] Bachelor-/Master-Praktikum - Implementation of Process Mining Algorithms: Transformative Business Knowledge,#,-,10,1
121,2,[IN213005] Master Praktikum: Approaching Information System Challenges with Natural Language Processing,#,-,10,1
121,3,[IN213006] Praktikum - Geschäftsprozesssimulation und Optimierung,#,-,10,1
121,2,"Advanced Practical Course - Message Correlation and Inter-Instance/Process Communication in Process Aware Information Systems  (IN2106, IN2130)",#,-,,1
121,3,"Advanced Practical Course - Solving Information Systems Problems Through Data Science Methods  (IN2106, IN2130)",#,-,,1
121,2,"Bachelor-/Master-Praktikum - Implementation of Process Mining Algorithms: Transformative Business Knowledge (IN0012, IN2130, IN2106, IN4304)",#,-,,1
121,2,,#,-,,1
121,3,"Master Praktikum: Approaching Information System Challenges with Natural Language Processing (IN2106, IN2130)",#,-,,1
121,2,"Praktikum - Geschäftsprozesssimulation und Optimierung (IN0012, IN2106, IN2130)",#,-,,1
121,1,Übergreifende Wahlmodule,#,,53,1
121,2,Softwaretechnik,#,,0,1
121,3,[IN9921] Anerkanntes Wahlmodul im Bereich Softwaretechnik,#,,,1
121,2,Anerkanntes Wahlmodul 1 im Bereich Softwaretechnik,#,-,,1
121,3,[IN9922] Anerkanntes Wahlmodul im Bereich Softwaretechnik,#,,,1
121,2,[IN9922] Anerkanntes Wahlmodul 2 im Bereich Softwaretechnik,#,-,,1
121,3,[CIT423002] AI Testing,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4279940/study-year/1621,,5,1
121,2,[CIT423002] AI Testing,#,-,5,1
121,3,AI Testing,#,-,,1
121,2,[IN3430] Ausgewählte Themen aus dem Bereich Engineering software-intensiver Systeme,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1498126/study-year/1621,,5,1
121,3,[IN3430 / IN3050] Ausgewählte Themen aus dem Bereich Engineering software-intensiver Systeme,#,-,5,1
121,2,"Ausgewählte Themen aus dem Bereich Engineering software-intensiver Systeme (IN3430, IN3050)",#,-,,1
121,3,[IN2367] Automated Programming,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1629492/study-year/1621,,2,1
121,2,[IN2367] Automated Programming,#,-,2,1
121,3,Automated Programming,#,-,,1
121,2,[IN2114] Automotive Software - Methoden und Technologien,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261483/study-year/1621,,5,1
121,3,Automotive Software - Methoden und Technologien,#,-,5,1
121,2,Automotive Software - Methoden und Technologien (IN2114),#,-,,1
121,3,Übung - Automotive Software - Methoden und Technologien (IN2114),#,-,,1
121,2,[CIT423001] DevOps: Engineering for Deployment and Operations,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4132629/study-year/1621,,6,1
121,3,DevOps: Engineering for Deployment and Operations (PR),#,-,,1
121,2,[CIT423001] DevOps: Engineering for Deployment and Operations,#,-,6,1
121,3,DevOps: Engineering for Deployment and Operations,#,-,,1
121,2,[CIT4230005] Engineering Resilient Cognitive Systems,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3475235/study-year/1621,,3,1
121,3,[CIT4230005] Engineering Resilient Cognitive Systems,#,-,3,1
121,2,Engineering Resilient Cognitive Systems,#,-,,1
121,3,[IN2084] Fortgeschrittene Themen des Softwaretests,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261731/study-year/1621,,5,1
121,2,Fortgeschrittene Themen des Softwaretests,#,-,5,1
121,3,Fortgeschrittene Themen des Softwaretests (IN2084),#,-,,1
121,3,[IN2385] Funktions- und Informationssicherheit,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2636231/study-year/1621,,3,1
121,2,[IN2385] Funktions- und Informationssicherheit,#,-,3,1
121,3,Funktions- und Informationssicherheit,#,-,,1
121,2,[IN2080] Modellierung verteilter Systeme,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456926/study-year/1621,,4,1
121,3,Modellierung verteilter Systeme,#,-,4,1
121,2,Modellierung verteilter Systeme (IN2080),#,-,,1
121,3,[IN2081] Muster in der Softwaretechnik,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/473855/study-year/1621,,5,1
121,2,Muster in der Softwaretechnik,#,-,5,1
121,3,Muster in der Softwaretechnik (IN2081),#,-,,1
121,3,[IN2235] Software-Engineering in der industriellen Praxis,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/608628/study-year/1621,,3,1
121,2,Software-Engineering in der industriellen Praxis,#,-,3,1
121,3,Software Engineering in der industriellen Praxis,#,-,,1
121,2,"Software Engineering in der industriellen Praxis - Betriebliche Informationssysteme und ihre Rolle im Unternehmen (IN2027, IN2235)",#,-,,1
121,3,Management,#,,18,1
121,2,[IN9931] Anerkennung im Bereich Management,#,,,1
121,3,Anerkennung 1 im Bereich Management,#,-,,1
121,2,[IN9932] Anerkennung im Bereich Management,#,,,1
121,3,Anerkennung 2 im Bereich Management,#,-,,1
121,2,[IN9933] Anerkennung im Bereich Management,#,,,1
121,3,Anerkennung 3 im Bereich Management,#,-,,1
121,2,[IN9934] Anerkennung im Bereich Management,#,,,1
121,3,Anerkennung 4 im Bereich Management,#,-,,1
121,2,[WI000026] Advanced Technology and Innovation Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/452770/study-year/1621,,6,1
121,3,Advanced Technology and Innovation Management,#,5.,6,1
121,2,Advanced Technology and Innovation Management,#,5.,,1
121,3,[WI000233] Management Accounting,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/463899/study-year/1621,,6,1
121,2,Management Accounting,#,1.,6,1
121,3,Management Accounting,#,-,,1
121,2,Übung Management Accounting,#,-,,1
121,3,[WI000100] Advanced Microeconomics,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1628399/study-year/1621,,6,1
121,2,Advanced Microeconomics,#,-,6,1
121,3,Advanced Microeconomics,#,-,,1
121,3,[WI000234] Value-based Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/463901/study-year/1621,,6,1
121,2,Value-based Management,#,-,6,1
121,3,Übung Value-based Management,#,-,,1
121,2,Value-based Management,#,-,,1
121,3,"[WI200541] Planning and Scheduling of Complex Operations: Models, Methods and Applications",ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/812017/study-year/1621,,6,1
121,2,"Planning and Scheduling of Complex Operations: Models, Methods and Applications",#,-,6,1
121,3,"Planning and Scheduling of Complex Operations: Models, Methods and Applications",#,-,,1
121,2,[WI000836] Advanced Planning in Supply Chains - Illustrating the concepts and methdology using SAP IBP,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/614770/study-year/1621,,6,1
121,3,Advanced Planning in Supply Chains - Illustrating the Concepts using an SAP APO Case Study,#,-,6,1
121,2,Advanced Planning - Models and IT Tools for Supply Chain Management,#,-,,1
