Study_Program_ID,Name (0),Name (1),Name (2),Name (3),Link,Recommended_Semester,Credits,GF
121,[20221] Information Systems,,,,#,,120,1
121,[20221] Information Systems,Master's Thesis,,,#,,30,1
121,[20221] Information Systems,Master's Thesis,[IN2109] Master's Thesis,,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/458129/study-year/1621,,30,1
121,[20221] Information Systems,Master's Thesis,[IN2109] Master's Thesis,Master's Thesis,#,4.,30,1
121,[20221] Information Systems,Pflichtmodule Informatik,,,#,,8,1
121,[20221] Information Systems,Pflichtmodule Informatik,[IN2309] Advanced Topics of Software Engineering,,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1060130/study-year/1621,,8,1
121,[20221] Information Systems,Pflichtmodule Informatik,[IN2309] Advanced Topics of Software Engineering,[IN2309] Advanced Topics of Software Engineering,#,-,8,1
121,[20221] Information Systems,Pflichtmodule Informatik,[IN2309] Advanced Topics of Software Engineering,Advanced Topics of Software Engineering,#,-,,1
121,[20221] Information Systems,Pflichtmodule Informatik,[IN2309] Advanced Topics of Software Engineering,"Advanced Topics of Software Engineering (IN2309, IN2126)",#,-,,1
121,[20221] Information Systems,Pflichtmodule Informatik,[IN2309] Advanced Topics of Software Engineering,Tutorübung zu Advanced Topics of Software Engineering (und Software Engineering - IN2126),#,-,,1
121,[20221] Information Systems,Pflichtmodule Informatik,[IN2309] Advanced Topics of Software Engineering,"Zentralübung zu Advanced Topics of Software Engineering (IN2309, IN2126)",#,-,,1
121,[20221] Information Systems,Pflichtmodule Wirtschaftsinformatik,,,#,,13,1
121,[20221] Information Systems,Pflichtmodule Wirtschaftsinformatik,[IN2105] Geschäftsprozesstechnologien und -management,,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2839421/study-year/1621,,5,1
121,[20221] Information Systems,Pflichtmodule Wirtschaftsinformatik,[IN2105] Geschäftsprozesstechnologien und -management,Geschäftsprozesstechnologien und -management,#,-,5,1
121,[20221] Information Systems,Pflichtmodule Wirtschaftsinformatik,[IN2105] Geschäftsprozesstechnologien und -management,Geschäftsprozesstechnologien und -management (IN2105),#,-,,1
121,[20221] Information Systems,Pflichtmodule Wirtschaftsinformatik,[IN2087] Software Engineering for Business Applications - Master's Course: Web Application Engineering,,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1452141/study-year/1621,,8,1
121,[20221] Information Systems,Pflichtmodule Wirtschaftsinformatik,[IN2087] Software Engineering for Business Applications - Master's Course: Web Application Engineering,[IN2087] Software Engineering für betriebliche Anwendungen - Masterkurs: Web Application Engineering,#,-,8,1
121,[20221] Information Systems,Pflichtmodule Wirtschaftsinformatik,[IN2087] Software Engineering for Business Applications - Master's Course: Web Application Engineering,Software Engineering für betriebliche Anwendungen - Masterkurs: Web Application Engineering (IN2087),#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,,,#,,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/457036/study-year/1621,,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN2128] Entwicklungspraktikum Unternehmenssoftware,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212809] Advanced Practical Course - Enterprise Cloud Platform Operations - On the Example of SAP,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212817] Advanced Practical Course - Run-Time Data Visualization for Business Processes,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212818] Advanced Practical Course - There and Back Again - Foundations and Applications of Process (Re-)Discovery with Petri Nets and Process Trees,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212803] Entwicklungspraktikum Unternehmenssoftware - Automotive Services,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212804] Entwicklungspraktikum Unternehmenssoftware - Business Intelligence,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"[IN212801] Entwicklungspraktikum Unternehmenssoftware - Entwicklung, Einsatzszenarien, Management und Integration von Unternehmenssoftware",#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212807] Entwicklungspraktikum Unternehmenssoftware - Future Business Labs,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212802] Entwicklungspraktikum Unternehmenssoftware - SOA/Web Services,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN4368] Master Praktikum: Agile Entwicklung eines Lernassistenten auf Basis von generativer KI,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212810] Master-Praktikum - Application Challenges for Machine Learning am Beispiel von IBM Power AI,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN4283] Master-Praktikum - Building Digital Workflows with the Enterprise Platform ServiceNow,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212812] Master-Praktikum - Machine Learning für Wirtschaftsinformatiker,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212816] Master-Praktikum - Supportive Process Automation and Worker Assistance,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"[IN4303] Master-Praktikum - Sustainable Process Automation: Humans, Software and the Mediator Pattern",#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212819] Practical Course - JavaScript Technology,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212811] Practical Course - Server-Side Swift,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN4206] Praktikum - Agile Project Management,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN4049] Praktikum - IOS,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212813] Praktikum: Advanced Systems Programming in C/Rust,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212815] Praktikum: Cloud Systems Engineering,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212814] Praktikum: Computer Systems Lab,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212808] Praktikum Design Thinking for Business Innovation 1,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,[IN212805] Praktikum IT Service Automation,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,Praktikum Windows App Entwicklung,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Entwicklung, Einsatzszenarien, Management und Integration von Unternehmenssoftware (am Beispiel SAP) (IN2128, IN2128012, IN2106, IN8902)",#,-,,1
