Degree,ID,Curriculum,Field of studies,ECTS Credits,Semester,Curriculum Link,Modulhandbuch Link
04 TopMath Promotion,084,Mathe. mit zusätzl. Promo.stg. Mathe. - Promotion (kA/20191),Mathematics,,8,,
05 Partial doctorate,419,Aerospace Engineering (kA/0),Aviation and Aerospace Engineering,,6,,
05 Partial doctorate,722,Agric. Science and Hort. Science (kA/0),Agricultural Studies/Farming,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=3819&pStartSemester=,
05 Partial doctorate,701,Agricultural Studies (kA/0),Agricultural Studies/Farming,6,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4094&pStartSemester=,
05 Partial doctorate,350,Architecture (kA/0),Architecture,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2550&pStartSemester=,
05 Partial doctorate,105,Biochemistry (kA/0),Biochemistry,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4127&pStartSemester=,
05 Partial doctorate,042,Bioinformatics (kA/0; sb bis 30.09.2050),Computer Science,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4234&pStartSemester=,
05 Partial doctorate,110,Biology (kA/0; sb bis 30.09.2030),Biology,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2897&pStartSemester=,
05 Partial doctorate,800,Brewing/Beverage Technology (kA/0),Brewing/Beverage Technology,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4128&pStartSemester=,
05 Partial doctorate,415,Chemical Engineering (kA/0),Chemical Engineering,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4160&pStartSemester=,
05 Partial doctorate,100,Chemistry (kA/0),Chemistry,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2551&pStartSemester=,
05 Partial doctorate,310,Civil Engineering (kA/0),Civil Engineering/Construction Engineering,,6,,
05 Partial doctorate,411,Engineering Science (kA/0),Interdisciplinary Studies (focus area: Engineering Studies),,6,,
05 Partial doctorate,457,Environmental Engineering (kA/0),Civil Engineering/Construction Engineering,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4396&pStartSemester=,
05 Partial doctorate,713,Environmental Planning and Engineer Ecology (kA/0),Land Management Engineering/Landscape Design,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4415&pStartSemester=,
05 Partial doctorate,830,Food Technology and Biotechnology (kA/0; sb bis 30.09.2030),Food Technology,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2984&pStartSemester=,
05 Partial doctorate,750,Forestry Science (kA/0; sb bis 30.09.2039),Forestry / Forestry Science,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=3371&pStartSemester=,
05 Partial doctorate,130,Geology (kA/0),Geology/Paleontology,,6,,
05 Partial doctorate,030,Informatics (kA/0; sb bis 30.09.2039),Computer Science,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2803&pStartSemester=,
05 Partial doctorate,746,Landscape Architecture and Planning (kA/0),Land Management Engineering/Landscape Design,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4090&pStartSemester=,
05 Partial doctorate,256,Management & Technology (kA/0; sb bis 30.09.2039),Business Studies,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2802&pStartSemester=,
05 Partial doctorate,332,Mapping and Geological Information (kA/0),Surveying and Mapping,,6,,
05 Partial doctorate,401,Mechanical Engineering (kA/0),Mechanical Engineering,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2636&pStartSemester=,
05 Partial doctorate,900,Medicine (kA/0),Medicine (General Medicine),,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=3076&pStartSemester=,
05 Partial doctorate,761,Nutritional Science (kA/0; sb bis 30.09.2030),Household and Nutritional Science,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2993&pStartSemester=,
05 Partial doctorate,051,Physics (kA/0; sb bis 30.09.2036),Physics,,6,,
05 Partial doctorate,291,Sports Science (kA/0; sb bis 30.09.2050),Sports Science,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=3089&pStartSemester=,
05 Partial doctorate,754,Sustainable Resource Management (kA/0),Nature Conservation,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4370&pStartSemester=,
05 Partial doctorate,610,TUM School of Education (kA/0),Educational Science,,8,,
06 Doctorate,613,"Civil, Geo and Environmental Engineering (Civil Engineering) (kA/0)",Civil Engineering/Construction Engineering,,8,,
06 Doctorate,615,"Civil, Geo and Environmental Engineering (Geosciences) (kA/0)",Geoscience,,8,,
06 Doctorate,618,Department of Architecture (Architecture) (kA/0),Architecture,,8,,
06 Doctorate,619,Department of Architecture (Landscape Architecture) (kA/0),Land Management Engineering/Landscape Design,,8,,
06 Doctorate,616,Department of Chemistry (Chemistry) (kA/0),Chemistry,,8,,
06 Doctorate,617,Department of Chemistry (Food Chemistry) (kA/0),Food Chemistry,,8,,
06 Doctorate,605,Department of Electrical and Computer Engineering (kA/0),Electrical Engineering/Electronics,,8,,
06 Doctorate,606,Department of Informatics (kA/0),Computer Science,,8,,
06 Doctorate,601,Department of Mathematics (kA/0),Mathematics,,8,,
06 Doctorate,604,Department of Mechanical Engineering (kA/0),Mechanical Engineering,,8,,
06 Doctorate,602,Department of Physics (kA/0),Physics,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4529&pStartSemester=,
06 Doctorate,979,Gastpromotion (kA/20171),others,,6,,
06 Doctorate,914,Gastpromotion (CH) (kA/20181),Chemistry,,8,,
06 Doctorate,691,Gastpromotion (CIT-EI) (kA/20211),Electrical Engineering/Electronics,,8,,
06 Doctorate,692,Gastpromotion (CIT-IN) (kA/20211),Computer Science,,8,,
06 Doctorate,693,Gastpromotion (CIT-MA) (kA/20211),Mathematics,,8,,
06 Doctorate,680,Gastpromotion (ED - Mechanical Eng.) (kA/20211),Mechanical Engineering,,8,,
06 Doctorate,919,Gastpromotion (EI) (kA/20181),Electrical Engineering/Electronics,,8,,
06 Doctorate,920,Gastpromotion (IN) (kA/20181),Computer Science,,8,,
06 Doctorate,912,Gastpromotion (MA) (kA/20181),Mathematics,,8,,
06 Doctorate,921,Gastpromotion (ME) (kA/20181),Medicine (General Medicine),,8,,
06 Doctorate,695,Gastpromotion (MH-Medicine) (kA/20211),Medicine (General Medicine),,8,,
06 Doctorate,696,Gastpromotion (MH-Sport) (kA/20211),Sports Science,,8,,
06 Doctorate,690,Gastpromotion (NAT-Chemistry) (kA/20211),Chemistry,,8,,
06 Doctorate,694,Gastpromotion (NAT-PH) (kA/20211),Physics,,8,,
06 Doctorate,913,Gastpromotion (PH) (kA/20181),Physics,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4752&pStartSemester=,
06 Doctorate,922,Gastpromotion (SG) (kA/20181),Sports Science,,3,,
06 Doctorate,925,Gastpromotion (TUMCS) (kA/20241),Biotechnology,,8,,
06 Doctorate,675,Guest Doctorate (ED - Architecture) (kA/20211),Architecture,,8,,
06 Doctorate,676,Guest Doctorate (ED - Civil Eng.) (kA/20211),Civil Engineering/Construction Engineering,,8,,
06 Doctorate,679,Guest Doctorate (ED - LRG) (kA/20211),Aviation and Aerospace Engineering,,8,,
06 Doctorate,682,Guest Doctorate (LS) (kA/20211),Agricultural Studies/Farming,,8,,
06 Doctorate,681,Guest Doctorate (MGT) (kA/20211; sb bis 30.09.2050),Business Sciences,,8,,
06 Doctorate,677,Guest Doctorate (SOT - Education) (kA/20211),Educational Science,,8,,
06 Doctorate,678,Guest Doctorate (SOT - Governance) (kA/20211),Political Science,,8,,
06 Doctorate,929,Guest Doctorate (TUM School of Engineering and Design - Aerospace and Geodesy) (kA/20191),Aviation and Aerospace Engineering,,6,,
06 Doctorate,917,Guest Doctorate (TUM School of Engineering and Design - Architecture) (kA/20171),Architecture,,8,,
06 Doctorate,916,Guest Doctorate (TUM School of Engineering and Design - Civil Eng.) (kA/20181),Civil Engineering/Construction Engineering,,8,,
06 Doctorate,918,Guest Doctorate (TUM School of Engineering and Design - Mechanical Engineering)  (kA/20181),Mechanical Engineering,,8,,
