Study_Program_ID,Name (1),Name (2),Name (3),Link,Credits,GF
121,Master's Thesis,,,,0000003187: 310 K (Fischer),1
121,Master's Thesis,[IN2109] Master's Thesis,,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/458129/study-year/1621,30,1
121,Pflichtmodule Informatik,,,,8,1
121,Pflichtmodule Informatik,[IN2309] Advanced Topics of Software Engineering,,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1060130/study-year/1621,8,1
121,Pflichtmodule Wirtschaftsinformatik,,,,13,1
121,Pflichtmodule Wirtschaftsinformatik,[IN2105] Geschäftsprozesstechnologien und -management,,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2839421/study-year/1621,5,1
121,Pflichtmodule Wirtschaftsinformatik,[IN2087] Software Engineering for Business Applications - Master's Course: Web Application Engineering,,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1452141/study-year/1621,8,1
121,Wahlmodule Entwicklungspraktikum,,,,10,1
121,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/457036/study-year/1621,10,1
121,Wahlmodule Entwicklungspraktikum,[IN2129] Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme,,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/457038/study-year/1621,10,1
121,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2862515/study-year/1621,10,1
121,Übergreifende Wahlmodule,,,,53,1
121,Übergreifende Wahlmodule,Softwaretechnik,,,0,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN9921] Anerkanntes Wahlmodul im Bereich Softwaretechnik,,,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN9922] Anerkanntes Wahlmodul im Bereich Softwaretechnik,,,1
121,Übergreifende Wahlmodule,Softwaretechnik,[CIT423002] AI Testing,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4279940/study-year/1621,5,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN3430] Ausgewählte Themen aus dem Bereich Engineering software-intensiver Systeme,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1498126/study-year/1621,5,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN2367] Automated Programming,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1629492/study-year/1621,2,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN2114] Automotive Software - Methoden und Technologien,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261483/study-year/1621,5,1
121,Übergreifende Wahlmodule,Softwaretechnik,[CIT423001] DevOps: Engineering for Deployment and Operations,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4132629/study-year/1621,6,1
121,Übergreifende Wahlmodule,Softwaretechnik,[CIT4230005] Engineering Resilient Cognitive Systems,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3475235/study-year/1621,3,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN2084] Fortgeschrittene Themen des Softwaretests,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261731/study-year/1621,5,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN2385] Funktions- und Informationssicherheit,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2636231/study-year/1621,3,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN2080] Modellierung verteilter Systeme,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456926/study-year/1621,4,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN2081] Muster in der Softwaretechnik,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/473855/study-year/1621,5,1
121,Übergreifende Wahlmodule,Softwaretechnik,[IN2235] Software-Engineering in der industriellen Praxis,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/608628/study-year/1621,3,1
121,Übergreifende Wahlmodule,Management,,,18,1
121,Übergreifende Wahlmodule,Management,[IN9931] Anerkennung im Bereich Management,,,1
121,Übergreifende Wahlmodule,Management,[IN9932] Anerkennung im Bereich Management,,,1
121,Übergreifende Wahlmodule,Management,[IN9933] Anerkennung im Bereich Management,,,1
121,Übergreifende Wahlmodule,Management,[IN9934] Anerkennung im Bereich Management,,,1
121,Übergreifende Wahlmodule,Management,[WI000026] Advanced Technology and Innovation Management,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/452770/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000233] Management Accounting,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/463899/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000100] Advanced Microeconomics,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1628399/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000234] Value-based Management,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/463901/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,"[WI200541] Planning and Scheduling of Complex Operations: Models, Methods and Applications",https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/812017/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WI000836] Advanced Planning in Supply Chains - Illustrating the concepts and methdology using SAP IBP,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/614770/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[WIB01832] Advanced Topics in Innovation & Entrepreneurship,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/586422/study-year/1621,6,1
121,Übergreifende Wahlmodule,Management,[MGT001472] Applied Strategy and Organization: Strategies for international Corporations,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4394710/study-year/1621,3,1
121,Übergreifende Wahlmodule,Management,"[WI001090] Behavioral Pricing: Insights, Methods, and Strategy",https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1021421/study-year/1621,6,1
