Degree,ID,Curriculum,Field of studies,ECTS Credits,Semester,Link
04 TopMath Promotion,4857,Mathe. mit zusätzl. Promo.stg. Mathe. - Promotion (kA/20191),Mathematik,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
05 Teilpromotion,4094,Agrarwissenschaften (kA/0),Agrarwissenschaft/Landwirtschaft,6,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4094&pStartSemester=
05 Teilpromotion,2550,Architektur (kA/0),Architektur,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2550&pStartSemester=
05 Teilpromotion,2722,Bauingenieurwesen (kA/0),Bauingenieurwesen/Ingenieurbau,,6,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
05 Teilpromotion,4127,Biochemie (kA/0),Biochemie,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4127&pStartSemester=
05 Teilpromotion,4234,Bioinformatik (kA/0; sb bis 30.09.2050),Informatik,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4234&pStartSemester=
05 Teilpromotion,2897,Biologie (kA/0; sb bis 30.09.2030),Biologie,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2897&pStartSemester=
05 Teilpromotion,4128,Brauwesen und Getränketechnologie (kA/0),Brauwesen/Getränketechnologie,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4128&pStartSemester=
05 Teilpromotion,2551,Chemie (kA/0),Chemie,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=2551&pStartSemester=
05 Teilpromotion,4160,Chemie-Ingenieurwesen (kA/0),Chemie-Ingenieurwesen/Chemietechnik,,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4160&pStartSemester=
